token,token_lower,tb_key,status,match_type
A14,a14,map.name.230166017.name | map.name.230166019.name,kept_neologism,
A15,a15,map.name.230167041.name | map.name.230167043.name,kept_neologism,
A16,a16,map.name.230168065.name | map.name.230168067.name,kept_neologism,
A17,a17,map.name.230169089.name | map.name.230169091.name,kept_neologism,
A18,a18,map.name.230170113.name | map.name.230170115.name,kept_neologism,
A19,a19,map.name.230171137.name | map.name.230171139.name,kept_neologism,
A20,a20,map.name.230172161.name | map.name.230172163.name,kept_neologism,
A21,a21,map.name.230173185.name | map.name.230173187.name,kept_neologism,
A22,a22,map.name.230174209.name | map.name.230174211.name,kept_neologism,
A23,a23,map.name.230162949.name | map.name.230162951.name,kept_neologism,
A24,a24,map.name.230167045.name | map.name.230167047.name,kept_neologism,
A25,a25,map.name.230163973.name | map.name.230163975.name,kept_neologism,
A26,a26,map.name.230164997.name | map.name.230164999.name,kept_neologism,
A27,a27,map.name.230166021.name | map.name.230166023.name,kept_neologism,
A28,a28,map.name.230168069.name | map.name.230168071.name,kept_neologism,
A29,a29,map.name.230169093.name | map.name.230169095.name,kept_neologism,
A30,a30,map.name.230171141.name | map.name.230171143.name,kept_neologism,
A31,a31,map.name.230172165.name | map.name.230172167.name,kept_neologism,
A32,a32,map.name.230173189.name | map.name.230173191.name,kept_neologism,
A33,a33,map.name.230174213.name | map.name.230174215.name,kept_neologism,
A34,a34,map.name.230175237.name | map.name.230175239.name,kept_neologism,
A35,a35,map.name.230162953.name | map.name.230162955.name,kept_neologism,
A36,a36,map.name.230163977.name | map.name.230163979.name,kept_neologism,
A37,a37,map.name.230165001.name | map.name.230165003.name,kept_neologism,
A38,a38,map.name.230166025.name | map.name.230166027.name,kept_neologism,
A39,a39,map.name.230167049.name | map.name.230167051.name,kept_neologism,
A40,a40,map.name.230168073.name | map.name.230168075.name,kept_neologism,
A41,a41,map.name.230169097.name | map.name.230169099.name,kept_neologism,
A42,a42,map.name.230170121.name | map.name.230170123.name,kept_neologism,
A43,a43,map.name.230171145.name | map.name.230171147.name,kept_neologism,
A44,a44,map.name.230172169.name | map.name.230172171.name,kept_neologism,
A45,a45,map.name.230173193.name | map.name.230173195.name,kept_neologism,
A46,a46,map.name.230174217.name | map.name.230174219.name,kept_neologism,
A47,a47,map.name.230162957.name | map.name.230162959.name,kept_neologism,
A48,a48,map.name.230163981.name | map.name.230163983.name,kept_neologism,
A49,a49,map.name.230165005.name | map.name.230165007.name,kept_neologism,
A50,a50,map.name.230166029.name | map.name.230166031.name,kept_neologism,
A51,a51,map.name.230167053.name | map.name.230167055.name,kept_neologism,
A52,a52,map.name.230175241.name | map.name.230175243.name,kept_neologism,
A53,a53,map.name.230176265.name | map.name.230176267.name,kept_neologism,
AAAAH,aaaah,spell.16936.name,kept_neologism,
ACKK,ackk,"monster.4341.name, object.17631.name | npc.3161.name",kept_neologism,
ACTIVO,activo,,removed_known_word,dictionary_form
ADC,adc,object.12534.name | object.12535.name | object.12536.name | object.12537.name | object.12539.name,kept_neologism,
AKB-MOS,akb-mos,"monster.4342.name, npc.3162.name, object.17632.name",kept_neologism,
ANIRIPSA,aniripsa,"achievement.141.name, achievement.objective.370.name | achievement.76.name, achievement.objective.311.name, monster.961.name | achievement.8533.name | achievement.8534.name | breed.7.longName | breed.7.shortName, spell.10120.name | choice.options.13.description, choice.options.120.description | choice.options.271.description | choice.options.33.description, choice.options.34.description, choice.options.50.description, choice.options.51.description, choice.options.67.description, choice.options.68.description, choice.options.84.description, choice.options.85.description | document.215.title, spell.21982.name | document.232.title | document.282.title | document.427.title | emoticon.298.name | finish.move.14.name | hint.2953.name, map.name.17042432.name, map.name.17042434.name, map.name.17042436.name, map.name.17042438.name, map.name.17042440.name, map.name.183763968.name, map.name.183763970.name, map.name.183763972.name, map.name.183763974.name, map.name.183764227.name | infinite.dream.action.53.name, spell.31732.name | monster.2651.name, npc.1119.name | monster.5875.name, npc.4978.name | monster.8223.name, monster.8227.name | monster.race.212.name | npc.6433.name | npc.6749.name | npc.7023.name | object.10210.name | object.10304.name | object.12367.name | object.12803.name | object.16415.name | object.19569.name | object.21925.name | object.2220.name | object.24969.name | object.24970.name | object.24971.name | object.24972.name | object.24973.name | object.24974.name | object.24975.name | object.26781.name | object.30897.name, object.30898.name, object.30899.name, object.30900.name | object.30901.name, object.30902.name, object.30903.name, object.30904.name | object.6611.name | object.6685.name | object.9048.name | object.9083.name | object.set.594.name | quest.462.name | quest.764.name | spelltype.1998.title | spelltype.2976.title | spelltype.2978.title | spelltype.2989.title | spelltype.3003.title | spelltype.3022.title | spelltype.3023.title | spelltype.3024.title | spelltype.3025.title | spelltype.3029.title | spelltype.600.title | spelltype.601.title | spelltype.7.title | state.4387.name",kept_neologism,
ANUTROF,anutrof,"achievement.142.name, achievement.objective.371.name | achievement.77.name, achievement.objective.312.name, monster.957.name | achievement.8525.name | achievement.8526.name | achievement.objective.3307.name, quest.1492.name | achievement.objective.3310.name, quest.1495.name | achievement.objective.3380.name | breed.3.longName | breed.3.shortName, spell.10126.name | choice.options.27.description, choice.options.28.description, choice.options.44.description, choice.options.45.description, choice.options.61.description, choice.options.62.description, choice.options.78.description, choice.options.79.description | choice.options.272.description | document.216.title, object.12366.name | document.236.title | document.289.title | document.423.title | emoticon.305.name, finish.move.27.name | hint.2954.name, map.name.17048576.name, map.name.17048577.name, map.name.17048578.name, map.name.17048580.name, map.name.17048582.name, map.name.17048835.name, map.name.183239170.name, map.name.183243776.name | infinite.dream.action.52.name, spell.31728.name | interactive.453.name | map.name.17048584.name | monster.4981.name | monster.5876.name, npc.4979.name | monster.5879.name, npc.4982.name | monster.6272.name, npc.5681.name | monster.8218.name, monster.8221.name | monster.race.204.name | npc.1230.name | npc.2356.name | npc.2365.name | npc.6429.name | object.10198.name | object.10217.name | object.1498.name | object.15353.name | object.15354.name | object.15355.name | object.19575.name | object.21926.name | object.2222.name | object.25359.name | object.25360.name | object.25361.name | object.25362.name | object.25363.name | object.25364.name | object.30235.name | object.30997.name, object.30998.name | object.30999.name, object.31000.name | object.6612.name | object.6681.name | object.9047.name | object.9079.name | object.set.593.name | quest.464.name | quest.765.name | spell.13376.name | spell.14330.name | spelltype.148.title | spelltype.3.title | spelltype.606.title | spelltype.607.title | spelltype.692.title | world.subarea.541.name",kept_neologism,
ATENCIÓN,atención,,removed_known_word,dictionary_form
ATMET,atmet,npc.1474.name | npc.1475.name | npc.1476.name | npc.1477.name | npc.1478.name,kept_neologism,
Aaah,aaah,spell.18880.name,kept_neologism,
Aaraknagolpe,aaraknagolpe,spell.12399.name,kept_neologism,
Aasimar,aasimar,monster.3027.name,kept_neologism,
Aazimar,aazimar,npc.1967.name | quest.1247.name,kept_neologism,
Abajo,abajo,,removed_known_word,dictionary_form
Abanico,abanico,,removed_known_word,dictionary_form
Abanicos,abanicos,,removed_known_word,dictionary_form
Abatimiento,abatimiento,,removed_known_word,dictionary_form
Abayar,abayar,spell.25012.name,kept_neologism,
Abby,abby,npc.350.name,kept_neologism,
Abdominación,abdominación,spell.3492.name,kept_neologism,
Abdominal,abdominal,,removed_known_word,dictionary_form
Abejorros,abejorros,,removed_known_word,dictionary_form
Abel,abel,,removed_known_word,dictionary_form
Abella,abella,object.13398.name,kept_neologism,
Aberraciones,aberraciones,,removed_known_word,dictionary_form
Aberración,aberración,,removed_known_word,dictionary_form
Abierta,abierta,,removed_known_word,dictionary_form
Abiertos,abiertos,,removed_known_word,dictionary_form
Abir,abir,npc.4361.name,kept_neologism,
Abisal,abisal,,removed_known_word,dictionary_form
Abismación,abismación,document.370.title,kept_neologism,
Abismo,abismo,,removed_known_word,dictionary_form
Abismos,abismos,,removed_known_word,dictionary_form
Abjugardiel,abjugardiel,npc.6623.name,kept_neologism,
Abjuración,abjuración,,removed_known_word,dictionary_form
Ablación,ablación,,removed_known_word,dictionary_form
Ablandador,ablandador,,removed_known_word,dictionary_form
Ablandón,ablandón,spell.2248.name,kept_neologism,
Able,able,monster.3171.name | npc.1471.name,kept_neologism,
Abnegación,abnegación,,removed_known_word,dictionary_form
Abobolición,abobolición,spell.4578.name,kept_neologism,
Abolición,abolición,,removed_known_word,dictionary_form
Abominable,abominable,,removed_known_word,dictionary_form
Abominación,abominación,,removed_known_word,dictionary_form
Abominap,abominap,spell.2197.name,kept_neologism,
Abono,abono,,removed_known_word,dictionary_form
Abordaje,abordaje,,removed_known_word,dictionary_form
Abordajeee,abordajeee,spell.6126.name,kept_neologism,
Abordanza,abordanza,spell.25214.name,kept_neologism,
Aborígel,aborígel,"spell.22638.name, spell.26947.name",kept_neologism,
Abote,abote,"npc.2033.name, object.14181.name",kept_neologism,
Aboz,aboz,npc.6862.name,kept_neologism,
Abra,abra,,removed_known_word,dictionary_form
Abrabotas,abrabotas,object.2423.name,kept_neologism,
Abracadabra,abracadabra,,removed_known_word,dictionary_form
Abracapa,abracapa,object.948.name,kept_neologism,
Abracaska,abracaska,object.2410.name | object.8463.name,kept_neologism,
Abracinto,abracinto,object.2429.name,kept_neologism,
Abraham,abraham,interactive.215.name | npc.1995.name,kept_neologism,
Abraini,abraini,spell.12452.name,kept_neologism,
Abrajidor,abrajidor,"achievement.objective.431.name, achievement.objective.9589.name, achievement.objective.10439.name, monster.1047.name | achievement.objective.441.name, achievement.objective.9457.name, achievement.objective.10313.name, monster.1077.name | monster.5698.name | monster.5886.name, npc.5027.name | monster.5909.name | npc.3800.name | object.8784.name | object.8785.name | object.8796.name | object.8797.name | object.8822.name | object.8823.name | object.8834.name | object.8835.name | object.8869.name | object.8870.name | object.8871.name | object.set.79.name | object.set.80.name | spell.4054.name | spell.4055.name",kept_neologism,
Abrajinieves,abrajinieves,monster.2544.name,kept_neologism,
Abrakadabra,abrakadabra,monster.2389.name,kept_neologism,
Abrakadabrra,abrakadabrra,spell.29234.name,kept_neologism,
Abrakapa,abrakapa,choice.options.212.description | object.2413.name | object.8464.name,kept_neologism,
Abrakeponerse,abrakeponerse,monster.2388.name,kept_neologism,
Abrakllota,abrakllota,object.10664.name | object.16372.name,kept_neologism,
Abraknación,abraknación,spell.482.name,kept_neologism,
Abrakno,abrakno,"achievement.objective.3733.name, achievement.objective.9414.name, achievement.objective.10286.name, monster.651.name | achievement.objective.3738.name, achievement.objective.9601.name, monster.992.name | achievement.objective.503.name, achievement.objective.9209.name, achievement.objective.10054.name, monster.650.name | monster.4198.name | monster.6909.name, npc.6718.name | monster.7341.name | monster.7349.name | monster.7924.name | object.16148.name | object.16149.name | object.16154.name | object.16155.name | object.16159.name | object.16160.name",kept_neologism,
Abraknoatrako,abraknoatrako,spell.5634.name,kept_neologism,
Abraknolimpieza,abraknolimpieza,"spell.5636.name, spell.21775.name, spell.29606.name",kept_neologism,
Abraknydi,abraknydi,object.791.name,kept_neologism,
Abraknídea,abraknídea,spell.5526.name | spell.5536.name,kept_neologism,
Abraknídeo,abraknídeo,"monster.5428.name | object.16547.name | object.16580.name | object.16621.name | object.16680.name | object.16736.name | object.16777.name | spell.5525.name, spell.21780.name",kept_neologism,
Abraknídeos,abraknídeos,"achievement.1201.name, achievement.4814.name, achievement.4956.name, achievement.objective.9039.name, monster.race.265.name | achievement.1202.name, achievement.4844.name, achievement.objective.9024.name, monster.race.266.name, monster.race.310.name | achievement.174.name, achievement.4781.name, achievement.4918.name, achievement.objective.9040.name, monster.race.22.name | guild.mission.37.name | guild.mission.67.name | world.event.38.name",kept_neologism,
Abrakscudo,abrakscudo,spell.21781.name,kept_neologism,
Abrakíledo,abrakíledo,monster.2309.name,kept_neologism,
Abralatigón,abralatigón,spell.11679.name,kept_neologism,
Abrampuje,abrampuje,spell.12455.name,kept_neologism,
Abramú,abramú,object.1619.name,kept_neologism,
Abranillo,abranillo,object.1559.name | object.1602.name | object.836.name,kept_neologism,
Abrarco,abrarco,object.1620.name,kept_neologism,
Abrarrama,abrarrama,spell.21779.name | spell.485.name,kept_neologism,
Abrarraíz,abrarraíz,spell.29607.name,kept_neologism,
Abrasado,abrasado,,removed_known_word,dictionary_form
Abrasador,abrasador,,removed_known_word,dictionary_form
Abrasadora,abrasadora,,removed_known_word,dictionary_form
Abrasamiento,abrasamiento,,removed_known_word,dictionary_form
Abrasivo,abrasivo,,removed_known_word,dictionary_form
Abratura,abratura,object.8468.name,kept_neologism,
Abrazarza,abrazarza,"monster.5784.name, spell.12457.name",kept_neologism,
Abrazarzas,abrazarzas,spell.12456.name,kept_neologism,
Abrazo,abrazo,,removed_known_word,dictionary_form
Abrazolargo,abrazolargo,"npc.4326.name, npc.7208.name",kept_neologism,
Abrefácil,abrefácil,challenge.988.name,kept_neologism,
Abrevadero,abrevadero,,removed_known_word,dictionary_form
Abreviación,abreviación,,removed_known_word,dictionary_form
Abreviamento,abreviamento,spell.22488.name,kept_neologism,
Abridor,abridor,,removed_known_word,dictionary_form
Abridora,abridora,,removed_known_word,dictionary_form
Abrigo,abrigo,,removed_known_word,dictionary_form
Abrir,abrir,,removed_known_word,dictionary_form
Abroesidor,abroesidor,monster.2381.name,kept_neologism,
Abrojo,abrojo,,removed_known_word,dictionary_form
Abrumado,abrumado,,removed_known_word,dictionary_form
Abrumadora,abrumadora,,removed_known_word,dictionary_form
Abrákneo,abrákneo,monster.2385.name,kept_neologism,
Abráknido,abráknido,"achievement.1835.name, achievement.1933.name, achievement.2334.name, achievement.2704.name, achievement.2808.name, achievement.objective.225.name, achievement.objective.1249.name, achievement.objective.1824.name, achievement.objective.1826.name, achievement.objective.4078.name, achievement.objective.4079.name, achievement.objective.5642.name, achievement.objective.5844.name, achievement.objective.6046.name, achievement.objective.6975.name, achievement.objective.17060.name, monster.173.name, monster.7999.name, npc.2863.name | achievement.509.name, achievement.objective.2145.name | achievement.6175.name, achievement.objective.13696.name, achievement.objective.13839.name, spell.pair.768.name | achievement.696.name, achievement.objective.2143.name | achievement.697.name, achievement.objective.2144.name | achievement.8606.name | achievement.objective.3734.name, achievement.objective.9415.name, achievement.objective.10287.name, monster.253.name | achievement.objective.3735.name, achievement.objective.9416.name, achievement.objective.10288.name, monster.254.name | achievement.objective.3739.name, achievement.objective.9602.name, monster.991.name | achievement.objective.4222.name | achievement.objective.506.name, achievement.objective.9210.name, achievement.objective.10055.name, monster.47.name, ride.family.4.name | achievement.objective.7749.name, achievement.objective.8097.name | achievement.objective.7751.name, achievement.objective.8505.name | achievement.objective.8099.name | alteration.667.name | monster.2771.name | monster.4000.name | monster.4197.name | monster.4649.name, npc.3644.name | monster.5001.name, spelltype.150.title | monster.6910.name | monster.7342.name | monster.7343.name | monster.7350.name | monster.7398.name | monster.919.name | monster.989.name | npc.6719.name | object.10489.name | object.13528.name | object.14010.name | object.14665.name | object.14747.name | object.1612.name | object.16150.name | object.16151.name | object.16156.name | object.16581.name | object.1660.name | object.16737.name | object.17015.name | object.18682.name | object.22558.name | object.22568.name | object.27006.name | object.28597.name | object.31097.name | object.31219.name | object.434.name | object.435.name | object.436.name | object.437.name | object.462.name | object.464.name | object.469.name | object.501.name | object.6496.name | object.8494.name | object.8495.name | object.8496.name | object.927.name | object.set.3.name | object.set.966.name | quest.79.name | spell.10939.name, spell.pair.244.name | spell.12498.name | spell.4248.name, spell.4249.name | state.1154.name | state.3519.name, spell.19053.name, spell.pair.246.name | state.891.name, spell.10940.name, spell.pair.245.name",kept_neologism,
Abráknidos,abráknidos,"achievement.283.name, progression.card.2109.name | achievement.objective.2331.name, world.subarea.169.name | document.23.title | map.name.149946368.name | map.name.41157632.name | map.name.42468097.name | map.name.42468099.name | map.name.42469121.name | map.name.42470145.name | map.name.42599169.name | map.name.42600193.name | object.1567.name | object.17839.name | object.8449.name | object.923.name | progression.card.3777.name | world.area.6.name",kept_neologism,
Absenta,absenta,spell.12820.name | spell.16970.name,kept_neologism,
Absolum,absolum,npc.3105.name,kept_neologism,
Absoluta,absoluta,,removed_known_word,dictionary_form
Absorbente,absorbente,,removed_known_word,dictionary_form
Absorción,absorción,,removed_known_word,dictionary_form
Absorta,absorta,,removed_known_word,dictionary_form
Absorto,absorto,,removed_known_word,dictionary_form
Absowción,absowción,spell.11950.name,kept_neologism,
Absurdas,absurdas,,removed_known_word,dictionary_form
Abub,abub,"achievement.objective.3263.name, achievement.objective.9160.name, achievement.objective.9989.name, monster.384.name | monster.353.name | monster.4783.name | monster.4786.name | monster.4787.name | spell.8411.name | spell.8414.name | spell.8415.name",kept_neologism,
Abubanero,abubanero,monster.2384.name,kept_neologism,
Abucheante,abucheante,object.11794.name,kept_neologism,
Abuchear,abuchear,,removed_known_word,dictionary_form
Abuela,abuela,,removed_known_word,dictionary_form
Abuelita,abuelita,npc.1381.name | object.11876.name | object.7037.name | spell.8672.name,kept_neologism,
Abuelito,abuelito,"monster.6673.name, npc.6294.name",kept_neologism,
Abuelo,abuelo,,removed_known_word,dictionary_form
Abuelubo,abuelubo,"achievement.objective.5023.name, achievement.objective.9484.name, monster.4869.name | monster.7323.name, npc.6993.name | object.439.name | object.8396.name",kept_neologism,
Abul,abul,taxcollector.firstname.65.value,kept_neologism,
Abundancia,abundancia,,removed_known_word,dictionary_form
Abureka,abureka,npc.2428.name,kept_neologism,
Aburrido,aburrido,,removed_known_word,dictionary_form
Abustin,abustin,monster.2498.name,kept_neologism,
Abutragueño,abutragueño,npc.5240.name,kept_neologism,
Abwakwadabwa,abwakwadabwa,spell.10317.name,kept_neologism,
Abyección,abyección,,removed_known_word,dictionary_form
Abyecta,abyecta,,removed_known_word,dictionary_form
Abzlación,abzlación,spell.31092.name,kept_neologism,
Abá,abá,monster.2276.name,kept_neologism,
Abétika,abétika,npc.6971.name,kept_neologism,
Abónate,abónate,progression.card.4054.name,kept_neologism,
Acaballadero,acaballadero,,removed_known_word,dictionary_form
Acabó,acabó,,removed_known_word,dictionary_form
Acac,acac,object.15599.name | object.17629.name | object.17633.name,kept_neologism,
Acalicanto,acalicanto,"spell.21346.name, spell.21348.name, spell.21349.name, spell.21356.name, spell.21357.name, spell.21358.name, spell.21359.name, spell.21360.name, spell.21361.name, spell.22387.name, spell.22388.name",kept_neologism,
Acantilados,acantilados,,removed_known_word,dictionary_form
Acariciador,acariciador,,removed_known_word,dictionary_form
Acaudalado,acaudalado,,removed_known_word,dictionary_form
Acceder,acceder,,removed_known_word,dictionary_form
Accelerobi,accelerobi,spell.18812.name,kept_neologism,
Acceso,acceso,,removed_known_word,dictionary_form
Accionar,accionar,,removed_known_word,dictionary_form
Acción,acción,,removed_known_word,dictionary_form
Acea,acea,object.11157.name,kept_neologism,
Acechaalmas,acechaalmas,spell.9056.name,kept_neologism,
Acechante,acechante,,removed_known_word,dictionary_form
Acecho,acecho,,removed_known_word,dictionary_form
Acedia,acedia,,removed_known_word,dictionary_form
Aceitado,aceitado,,removed_known_word,dictionary_form
Aceite,aceite,,removed_known_word,dictionary_form
Aceitera,aceitera,,removed_known_word,dictionary_form
Aceitoso,aceitoso,,removed_known_word,dictionary_form
Aceleración,aceleración,,removed_known_word,dictionary_form
Acelerada,acelerada,,removed_known_word,dictionary_form
Acelerado,acelerado,,removed_known_word,dictionary_form
Acelerador,acelerador,,removed_known_word,dictionary_form
Aceleradora,aceleradora,,removed_known_word,dictionary_form
Aceradas,aceradas,,removed_known_word,dictionary_form
Acerbo,acerbo,,removed_known_word,dictionary_form
Acerca,acerca,,removed_known_word,dictionary_form
Acercamiento,acercamiento,,removed_known_word,dictionary_form
Acero,acero,,removed_known_word,dictionary_form
Achapupila,achapupila,"achievement.7432.name | achievement.7582.name | achievement.7732.name, achievement.objective.15998.name | achievement.objective.15682.name, monster.7538.name, object.28832.name, spell.26625.name, spell.26780.name, spell.27432.name | achievement.objective.15832.name, object.28982.name | object.29092.name | object.29093.name",kept_neologism,
Achispada,achispada,,removed_known_word,dictionary_form
Achumm,achumm,spell.21292.name,kept_neologism,
Achún,achún,spell.15564.name,kept_neologism,
Aciano,aciano,,removed_known_word,dictionary_form
Acidrik,acidrik,"achievement.objective.1474.name, quest.127.name | document.90.author, document.102.author, document.103.author, document.104.author, document.105.author, document.106.author, document.107.author, document.108.author, document.109.author, document.110.author, document.113.author, document.275.author, document.276.author, npc.729.name, npc.4322.name",kept_neologism,
Acimut,acimut,,removed_known_word,dictionary_form
Acimutación,acimutación,"spell.15905.name, spell.15906.name",kept_neologism,
Ación,ación,spell.2395.name,kept_neologism,
Aclamación,aclamación,,removed_known_word,dictionary_form
Acometida,acometida,,removed_known_word,dictionary_form
Acomodarse,acomodarse,,removed_known_word,dictionary_form
Acomplejado,acomplejado,,removed_known_word,dictionary_form
Acorazado,acorazado,,removed_known_word,dictionary_form
Acorralamiento,acorralamiento,,removed_known_word,dictionary_form
Acortador,acortador,monster.3214.name,kept_neologism,
Acosado,acosado,,removed_known_word,dictionary_form
Acosador,acosador,,removed_known_word,dictionary_form
Acosadora,acosadora,,removed_known_word,dictionary_form
Acosante,acosante,spell.9504.name,kept_neologism,
Acoso,acoso,,removed_known_word,dictionary_form
Acostarse,acostarse,,removed_known_word,dictionary_form
Acrobacia,acrobacia,,removed_known_word,dictionary_form
Acrobatismo,acrobatismo,,removed_known_word,dictionary_form
